UE : GI-4-INFO-S1,,,,,,,
EC : GI-4-ADD-S1,Analyse de données ,,,,,,
ECTS,1,,,,,,
Nbre H,20,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 1,Analyser un système (ou un problème) réel ou virtuel,,,,,M
,Compétence 2,Exploiter un modèle d’un système réel ou virtuel,,,,,M
,Compétence 3,Mettre en œuvre une démarche expérimentale,,,,,2
,Compétence 5,Traiter des données,,,,,3
,Compétence 6,"Communiquer une analyse ou une démarche scientifique avec des mises en situation adaptées à leur spécialité""",,,,,3
,Compétence 7,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données",,,,,3
,Compétence 9,"Evaluer, prototyper ou simuler un système",,,,,M
,Compétence 11,Piloter un système de production et réagir aux dysfonctionnements,,,,,M
,Compétence 17,"Appréhender et évaluer une structure de manière globale, au travers de grilles de lecture socio-économiques ",,,,,1
,Compétence 18,Faire évoluer les organisations pour répondre à de nouvelles contraintes ou opportunités ,,,,,M
,Compétence 22,"Identifier, analyser et maîtriser les risques inhérents à un projet ",,,,,M
,Compétence 28,"Travailler, apprendre, évoluer de manière autonome ",,,,,2
,Compétence 29,"Interagir avec les autres, travailler en équipe ",,,,,3
,Compétence 31,Agir de manière responsable dans un monde complexe ,,,,,M
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
"S'approprier des outils de traitement des données structurée (Excel et xlstat) (9,10,11) ",,Méthodologies de pré-traitement sur les données,,,,,
 Savoir prendre une décision sur la base de résultats numériques (7) ,,Méthodologies d'analyse des données : segmentation ,,,,,
" Choisir une méthode de traitement en fonction des données et des objectifs (1,2,3,5,7)",, Classification ,,,,,
,, Visualisation ,,,,,
,, Indicateurs de qualité des résultats,,,,,
