UE : GI-3-MECA-S2,,,,,,,
EC : GI-3-CMP-S2,Conception de machines de production ,,,,,,
ECTS,2,,,,,,
Nbre H,32,,,,,,
,,,,,,,Niveau de la compétence
,,,,,,,
,,,,,,,
,Compétence 1,Analyser un système (ou un problème) réel ou virtuel,,,,,1
,Compétence 3,Mettre en œuvre une démarche expérimentale,,,,,2
,Compétence 4,Concevoir un système répondant à un cahier des charges,,,,,3
,Compétence 6,Communiquer une analyse ou une démarche scientifique avec des mises en situation adaptées à leur spécialité,,,,,2
,Compétence 8,"Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ",,,,,3
,Compétence 10,Dimensionner la partie matérielle et/ou logicielle d'un système ,,,,,3
,Compétence 16,Définir et appliquer un plan d’actions dans le cadre d’une démarche qualité et de l'amélioration continue ,,,,,3
,Compétence 18,Faire évoluer les organisations pour répondre à de nouvelles contraintes ou opportunités ,,,,,3
,Compétence 20,"Conduire collectivement un projet : organisation, communication, animation, coordination du groupe ",,,,,3
,Compétence 21,"Piloter un projet en s'appuyant sur un plan directeur (planification, élaboration du budget, définition des indicateurs de suivi, réaliser une recette) ",,,,,3
,Compétence 22,"Identifier, analyser et maîtriser les risques inhérents à un projet ",,,,,2
,Compétence 23,"Identifier, formaliser et contractualiser les besoins d’un client, suivre leur évolution et valider leur respect (traçabilité des besoins)",,,,,2
,Compétence 29,"Interagir avec les autres, travailler en équipe ",,,,,2
,Compétence 30,"Faire preuve de créativité, innover, entreprendre ",,,,,1
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
Gérer un projet,,Fiabilité générale d'un mécanisme,,,,,
"Respecter des normes, des coûts et des délais",,Calculs de roulements,,,,,
Dimensionner un bâti mécano soudé,,,,,,,
"Dimensionner paliers,  courroies",,,,,,,
Dimensionner un arbre en statique et en dynamique,,,,,,,
